epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.676,1.00542,2.25349,1.38258,0.00747,1,0.97456,0.85377,0.50977,2.62547,0.90484,8e-05,8e-05,8e-05
2,44.9825,0.78617,1.94639,1.17241,0.00747,1,0.98909,0.90071,0.41664,2.58091,0.81765,0.000176436,0.000176436,0.000176436
3,65.2118,0.72539,1.64293,1.12263,0.00747,1,0.995,0.9253,0.36746,2.54043,0.77193,0.000268912,0.000268912,0.000268912
4,85.4322,0.63208,1.23163,1.03132,0.00747,1,0.995,0.91324,0.42019,2.49902,0.79486,0.000357428,0.000357428,0.000357428
5,105.361,0.62731,1.06336,1.02065,0.00747,1,0.995,0.91953,0.42809,2.4252,0.80789,0.000441984,0.000441984,0.000441984
6,125.647,0.6269,0.9965,1.05138,0.00747,1,0.995,0.9288,0.39568,2.37137,0.7885,0.00052258,0.00052258,0.00052258
7,146.149,0.59544,0.8362,0.99231,0.98852,1,0.995,0.90889,0.42991,2.26894,0.79524,0.000599216,0.000599216,0.000599216
8,166.535,0.5632,0.79582,0.97272,1,0.6695,0.995,0.89966,0.43525,2.13148,0.80592,0.000671892,0.000671892,0.000671892
9,186.764,0.55748,0.75045,0.96891,0.99598,1,0.995,0.90089,0.47775,1.80269,0.82529,0.000740608,0.000740608,0.000740608
10,206.91,0.52288,0.70469,0.93845,1,0.99425,0.995,0.90371,0.44619,1.62809,0.80822,0.000805364,0.000805364,0.000805364
11,227.029,0.61377,0.82797,1.04736,0.98935,0.98214,0.99433,0.90782,0.42764,1.49055,0.78893,0.00086616,0.00086616,0.00086616
12,247.114,0.60979,0.74246,1.00436,0.99389,0.98214,0.99482,0.92225,0.39431,1.32944,0.77722,0.000922996,0.000922996,0.000922996
13,267.09,0.57861,0.7585,1.00549,1,0.99829,0.995,0.92241,0.38541,1.29101,0.77765,0.000975872,0.000975872,0.000975872
14,286.933,0.51512,0.68006,0.94176,0.98426,1,0.995,0.92811,0.38625,1.17621,0.77328,0.00102479,0.00102479,0.00102479
15,307.026,0.55417,0.69876,1.00612,0.96348,1,0.99019,0.92396,0.38491,1.08454,0.77087,0.00106974,0.00106974,0.00106974
16,327.271,0.55787,0.63642,0.96573,0.97273,1,0.99447,0.92902,0.3821,1.07438,0.77002,0.00111074,0.00111074,0.00111074
17,347.312,0.52167,0.70035,0.945,0.99645,1,0.995,0.92098,0.39174,1.00583,0.77081,0.00114778,0.00114778,0.00114778
18,367.431,0.56066,0.63924,0.94791,0.99737,1,0.995,0.91831,0.40467,0.97527,0.77492,0.00118085,0.00118085,0.00118085
19,387.364,0.54858,0.63825,0.95357,0.99759,1,0.995,0.94214,0.35769,0.94793,0.76548,0.00120997,0.00120997,0.00120997
